target,gaia_dr3_id,notes
WASP-79,4.88477976589374e+18,"notes:
substellar companion
wasp-79b
detected, see also
wasp-79
in the
extrasolar planets encyclopaedia
.
hierarchy :
number of linked objects
whatever the membership probability is
(see description
here
)
:
the count displayed here is the number of children objects.
the list obtained by clicking the button may be larger, as some children may
be linked with different references or probability.
%this number is the number of distinct objets linked, by using this button, you will obtain all links ("
HATS-5,4.899428146994061e+18,none
K2-136,1.4591605068392013e+17,none
K2-136,1.4591605068392013e+17,none
K2-136,1.4591605068392013e+17,none
HATS-63,4.891362198412001e+18,none
K2-370,1.441507203427342e+17,none
TOI-2449,4.870809920906672e+18,none
WASP-159,4.864759888238232e+18,none
LHS 1678,4.864160624337973e+18,none
LHS 1678,4.864160624337973e+18,none
LHS 1678,4.864160624337973e+18,none
TOI-270,4.781196115469953e+18,none
TOI-270,4.781196115469953e+18,none
TOI-270,4.781196115469953e+18,none
TOI-1685,2.5236660895618624e+17,none
HAT-P-58,2.7749361504474138e+17,none
WASP-100,4.67535e+18,none
HAT-P-64,3.279418602369232e+18,none
TOI-3714,1.7892439047879232e+17,none
K2-133,1.4808047368235738e+17,none
K2-133,1.4808047368235738e+17,none
K2-133,1.4808047368235738e+17,none
K2-133,1.4808047368235738e+17,none
HATS-76,4.877426575724467e+18,none
NGTS-23,4.81646209193813e+18,none
K2-395,3.310124801036651e+18,none
K2-395,3.310124801036651e+18,none
TOI-2447,4.877544322252001e+18,none
TOI-2154,5.706534110604845e+17,none
K2-394,3.4061326445455703e+18,none
TOI-2719,3.22966975566114e+18,none
WASP-141,2.9803920871852887e+18,none
WASP-82,3.2318563793482993e+18,none
TOI-813,4.665704096987468e+18,none
NGTS-17,4.873225513593737e+18,none
NGTS-15,4.873830691665396e+18,none
TOI-157,4.624979393181971e+18,none
TOI-206,4.665277593852296e+18,none
K2-232,3.406687485600728e+18,none
TOI-216,4.664811297844004e+18,none
TOI-216,4.664811297844004e+18,none
TOI-5350,3.412163401401508e+18,none
HAT-P-62,2.5539714217984422e+17,none
HAT-P-70,3.291455819447953e+18,none
K2-396,3.405720400701167e+18,none
K2-396,3.405720400701167e+18,none
TOI-871,4.783664690873269e+18,none
WASP-61,2.95917704898375e+18,"notes:
substellar companion
wasp-61b
detected, see also
wasp-61
in the
extrasolar planets encyclopaedia
.
hierarchy :
number of linked objects
whatever the membership probability is
(see description
here
)
:
the count displayed here is the number of children objects.
the list obtained by clicking the button may be larger, as some children may
be linked with different references or probability.
%this number is the number of distinct objets linked, by using this button, you will obtain all links ("
HAT-P-61,2.565801823313993e+17,none
NGTS-6,4.87569302384484e+18,none
TOI-269,4.770828304936109e+18,none
WASP-35,3.2111886187620234e+18,"notes:
substellar companion
wasp-35b
detected, see also
wasp-35
in the
extrasolar planets encyclopaedia
.
hierarchy :
number of linked objects
whatever the membership probability is
(see description
here
)
:
the count displayed here is the number of children objects.
the list obtained by clicking the button may be larger, as some children may
be linked with different references or probability.
%this number is the number of distinct objets linked, by using this button, you will obtain all links ("
K2-412,3.409152693750235e+18,none
TOI-540,4.785886941312921e+18,none
K2-291,3.4091487466765993e+18,none
TOI-942,2.974906868489281e+18,none
TOI-942,2.974906868489281e+18,none
K2-260,3.3949231277971144e+18,none
TOI-4137,4.9775084233840256e+17,none
KELT-7,1.8190884299456797e+17,none
EPIC 246851721,3.39393903053102e+18,none
K2-284,3.4137934918120934e+18,none
TOI-128,4.62160705358091e+18,none
TOI-2458,3.233785128901216e+18,none
TOI-163,4.651366263526131e+18,none
K2-397,3.4143709759353974e+18,none
TOI-4364,3.2104442150303396e+18,none
TOI-199,4.762582895440788e+18,none
NGTS-31,4.819647205326045e+18,none
HATS-43,2.9059834667055217e+18,none
TOI-2338,4.822916912388338e+18,none
HD 35843,4.799563663371481e+18,none
TOI-421,2.9845822272157486e+18,none
TOI-421,2.9845822272157486e+18,none
TOI-2459,4.807503030677131e+18,none
TOI-544,3.2209265422769014e+18,none
NGTS-1,4.821739369794768e+18,none
TOI-431,2.908664557091201e+18,none
TOI-431,2.908664557091201e+18,none
TOI-4603,3.4029805165074294e+18,none
TIC 46432937,2.9843913588687867e+18,none
TOI-2796,3.2224539357259515e+18,none
HD 39091,4.623036865373793e+18,"notes:
substellar companion
hd 39091b
detected, see
hd 39091
in the
extrasolar planets encyclopaedia
.
hierarchy :
number of linked objects
whatever the membership probability is
(see description
here
)
:
the count displayed here is the number of children objects.
the list obtained by clicking the button may be larger, as some children may
be linked with different references or probability.
%this number is the number of distinct objets linked, by using this button, you will obtain all links (may"
HATS-44,2.9075777585664087e+18,none
TOI-532,3.340265717587057e+18,none
TOI-892,3.01075926261014e+18,none
TOI-2525,4.75893121116687e+18,none
TOI-2525,4.75893121116687e+18,none
