target,n_rows_in_csv,n_valid_3d,n_inner_lt_30pc,n_outer_40_70pc,inner_density,outer_density,density_ratio,raw_score,adjusted_score,score_gap,score_retention,inner_weight,outer_weight,confidence_weight,score_status,csv_path
XO-3,5399,5399,205,2191,0.0018125979629910304,0.0018747767758835628,0.9668340179522289,0.49156868811881194,0.46657551876420866,0.024993169354603273,0.9491563031602972,0.9534883720930233,0.9954566106315311,0.9491563031602972,ok,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\XO-3.csv
K2-175,3423,3423,118,1172,0.0010433490713802028,0.0010028472758263512,1.0403868031854382,0.5098968497351547,0.4660843295987532,0.04381252013640152,0.9140757191201354,0.921875,0.9915397631133672,0.9140757191201354,ok,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\K2-175.csv
HD_2685,2734,2734,107,1051,0.000946087717268489,0.000899310995642914,1.0520139549635268,0.5126738794435858,0.4644366019848017,0.04823727745878409,0.9059104054391519,0.9145299145299145,0.9905749293119699,0.9059104054391519,ok,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\HD_2685.csv
K2-395,1134,1134,97,934,0.0008576683044396583,0.0007991974024076895,1.0731620271234834,0.5176450335686005,0.46429594439299926,0.053349089175601216,0.8969388563282117,0.9065420560747663,0.989406779661017,0.8969388563282117,ok,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\K2-395.csv
HAT-P-53,1316,1316,59,491,0.0005216745356901014,0.00042013482289312155,1.2416836388323151,0.5539067231980618,0.4641766861732955,0.08973003702476628,0.8380051491220458,0.855072463768116,0.9800399201596807,0.8380051491220458,ok,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\HAT-P-53.csv
TOI-858_B,1319,1319,59,491,0.0005216745356901014,0.00042013482289312155,1.2416836388323151,0.5539067231980618,0.4641766861732955,0.08973003702476628,0.8380051491220458,0.855072463768116,0.9800399201596807,0.8380051491220458,ok,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\TOI-858_B.csv
HATS-71,1361,1361,60,505,0.0005305164769729845,0.0004321142272118664,1.227722772277228,0.5511111111111111,0.4632085067036523,0.08790260440745878,0.840499306518724,0.8571428571428571,0.9805825242718447,0.840499306518724,ok,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\HATS-71.csv
Qatar-4,3767,3767,137,1436,0.0012113459557549814,0.0012287446144083963,0.9858402971216343,0.4964348334307423,0.4594641452870071,0.03697068814373522,0.925527610767682,0.9319727891156463,0.9930843706777317,0.925527610767682,ok,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\Qatar-4.csv
TOI-3688_A,2206,2206,89,868,0.0007869327741765937,0.0007427230677621783,1.0595238095238095,0.5144508670520231,0.45721863718624617,0.05723222986577697,0.8887508340811302,0.898989898989899,0.9886104783599089,0.8887508340811302,ok,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\TOI-3688_A.csv
WASP-79,2836,2836,105,1064,0.0009284038347027229,0.0009104347282246056,1.0197368421052633,0.504885993485342,0.4566906581830006,0.048195335302341435,0.9045421423366528,0.9130434782608695,0.9906890130353817,0.9045421423366528,ok,C:\Users\Eef\MY SHIT\Documents\ASTR502spring26\ASTR502spring26\April Fixes\FRIENDS\WASP-79.csv
